,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,VISIT_AREA_NM,total_score,VISIT_AREA_NM_encoded
127,1,20,3,1,3,2,스누피가든,1.0,144
128,1,40,1,1,1,3,제주아트서커스,0.75,220
129,1,40,1,1,1,1,제주추사관,0.8333333333333333,226
130,1,30,2,1,1,1,제주하늘을날다,0.8333333333333333,231
131,1,30,2,1,1,1,제주베스트힐,0.6666666666666666,212
132,1,50,1,1,1,1,걸매생태공원,1.0,4
133,1,20,2,1,1,1,답다니탑망대,0.5,42
134,1,30,1,1,1,1,동백포레스트,0.75,56
135,1,40,1,1,3,1,성읍랜드,0.5,134
136,1,40,1,1,3,1,하효살롱협동조합,0.8333333333333333,281
137,0,40,1,1,1,1,세계조가비박물관,0.75,136
138,0,40,1,1,2,1,쇠와꽃승마장,1.0,140
139,1,40,1,2,1,3,액티브파크,1.0,160
140,1,40,1,1,1,1,제주삼양동유적,0.6666666666666666,214
141,1,50,1,1,1,1,제주돌마을공원,0.5,208
142,0,30,2,1,1,1,제주실탄사격장,0.5833333333333333,219
143,0,30,1,1,1,2,라온골프클럽,1.0,58
144,1,20,3,1,1,1,비양도등대,1.0,97
145,1,20,3,1,1,1,파더스가든,1.0,268
146,0,20,1,1,1,1,성산포항,1.0,133
147,1,20,1,3,1,1,숨도,1.0,143
148,1,40,2,1,1,3,아프리카박물관,0.8333333333333333,154
149,1,20,1,1,1,1,윈드1947카트테마파크,0.75,188
150,1,20,1,1,1,3,차귀도유람선,0.6666666666666666,243
